200c87a0 %
e56048fe APRatioPerMine3Prefix
5f065fdb APRatioPerMine4
33841b10 APRatioPerMine4Postfix
98d642ef APRatioPerMine4Prefix
5e065e48 APRatioPerMine5
80904a25 APRatioPerMine5Postfix
d50dad64 APRatioPerMine5Prefix
4a705d8f APRatioPerMineNL
81e55f25 APRatioPerRed
47b9abba APRatioPerSecond
ad23e4de APRatioPerStack
f328829b APRatioPerTick
9c11ca96 APRatioTT.1
e78fad4a APRatioToPercentDamage
eaef1b9e APRatioTooltip
78ff5927 APRatioTwo
f959fc8e APRatio_Max
b6da09c APRatio_Min
9579aa9 APRequiredFor1PercentDamage
22c13cca APRequiredTooltipOnly
80b2338f APShare
927ebb75 APShield
e180cc0c APShield1
f6683449 APShield1Postfix
eb9296e8 APShield1Prefix
e480d0c5 APShield2
283642a2 APShield2Postfix
44f0ecc9 APShield2Prefix
e380cf32 APShield3
44f6b68f APShield3Postfix
ca716196 APShield3Prefix
5f5c4617 APShieldNL
1cef8117 APStackRatio
8e7d1327 APThreshold
7325684 APToASRatio
432ed1fc APToAdd
8fb445b7 APToAdd1
b263129c APToAdd1Postfix
32e7b9ab APToAdd1Prefix
90b4474a APToAdd2
dbfa2a67 APToAdd2Postfix
38a4596e APToAdd2Prefix
91b448dd APToAdd3
c076dbba APToAdd3Postfix
90f725c1 APToAdd3Prefix
11375cce APToAddNL
438db135 APToCritConversion
552fb3d0 APToHasteConversion
fb182b33 APToHasteConversion1
d7f77dc8 APToHasteConversion1Postfix
ff95d727 APToHasteConversion1Prefix
fc182cc6 APToHasteConversion2
6f805e53 APToHasteConversion2Postfix
8098643a APToHasteConversion2Prefix
fd182e59 APToHasteConversion3
40ce95f6 APToHasteConversion3Postfix
d4e4eeed APToHasteConversion3Prefix
e6727bcd APToHasteConversionCalc
a3b5d5c2 APToHasteConversionNL
4babc991 APToPercentRatio
a575ddd9 APfromAD
20425e6a ARAMBonusStacks
9dd3aadf ARAMPassiveSpawnThreshold
45a78236 ARENA_NAME
38682fa8 ARGrant
8302881b ARMARScaling
66fc5a1e ARMARScaling1
8413e5ab ARMARScaling1Postfix
36fc6432 ARMARScaling1Prefix
65fc588b ARMARScaling2
d9b24520 ARMARScaling2Postfix
ca8e36ff ARMARScaling2Prefix
64fc56f8 ARMARScaling3
6fd585b5 ARMARScaling3Postfix
9d82b434 ARMARScaling3Prefix
73fbd979 ARMARScalingNL
236a05ac ARMRBoost
5ce6d627 ARMRBoost1
a435122c ARMRBoost1Postfix
6cb52c3b ARMRBoost1Prefix
5de6d7ba ARMRBoost2
8e60a1f7 ARMRBoost2Postfix
acbd38fe ARMRBoost2Prefix
5ee6d94d ARMRBoost3
a2db004a ARMRBoost3Postfix
c5a2ea51 ARMRBoost3Prefix
57e6ce48 ARMRBoost4
57de1a25 ARMRBoost4Postfix
9c6a9d64 ARMRBoost4Prefix
58e6cfdb ARMRBoost5
ad1eb10 ARMRBoost5Postfix
